idubicacion;ubicacion nueva;ubicacion antigua
;;Almacén
;;Almacén Informática
;;Almacén Mecanica
;;Aparatos de Baja
;;Aula 0.Aula Fresa Mecánica
;;Aula 0.Material variado
;;Aula 1.Máquinas y herramientas
;;Aula 1.Material variado
;;Aula 2.Material variado
;;Aula 2.Montaje mecánico
;;Aula 3.Hidráulica
;;Aula 3.Material variado
;;Aula 4.Material variado
;;Aula 4.Neumática
;;Aula 5.Control Numérico
;;Aula 5.Material variado
;;Aula 6.Laboratorio metrología y ensayos
;;Aula 6.Material variado
;;Aula 6.Varios 2
;;Aula 7.Diseño I
;;Aula 8. Diseño II
;;Aula 9. Diseño III
;;Aula 10.Diseño IV
;;Aula 11.Electricidad del automóvil
;;Aula 12.Electrónica del automóvil
;;Aula 13.Electricidad general
;;Aula 14.Electricidad teoría
;;Aula 15.Autómatas I y II
;;Aula 16.Laboratorio y Metrología Eléctrica
;;Aula 17 Electrónica Industrial
;;Aula 18.Electrónica Básica
;;Aula 19.Aula de electrónica
;;Aula 20.Automática
;;Aula 21.Robótica e intrumentación
;;Aula 24.Equipos infomáticos
;;Aula 25.Producción y realización de TV y video
;;Aula 26.Mantenimiento TV y video
;;Aula 27.Aula de Telecomunicación
;;Aula 28.Electrónica Analógica
;;Aula 29.Electrónica de Telecomunicación
;;Aula 30.Aula Magna
;;Aula 31.Control de Audio de Talleres
;;Aula 32.Material Variado
;;Aula 32.Taller de Automoción
;;Aula 33.Sonorización de Talleres
;;Aula 34.Material variado de taller de Chapa y Pintura
;;Aula 34.Taller de Chapa y Pintura
;;Aula 35.Material variado
;;Aula 35.Taller de Soldadura
;;Aula 36.Aula de Proyectos I+D
;;Aula 37. FP3
;;Aula 38.Carpintería
;;Aula 39.Laboratorio de Química
;;Aula 40.Material de cursillos
;;Aula 42.Matenimiento informático
;;Aula 44.ESO
;;Aula 45.Audiovisuales
;;Aula 46.Aula de Música ESO
;;Aula 47.Audiovisuales-ESO
;;Aula 48.Laboratorio de Ciencias
;;Aula 50.FP I
;;Aula 51.Teatro
;;Aula 53.Bachillerato
;;Aula 54.Polideportivo
;;Aula 55.Formación Empresa
;;Aula 56.Primaria
;;Aula 57.Comunidad
;;Aula 58.Infantiles
;;Aula 59.Cuarto de contadores
;;Aula 60.P.D Boscos
;;Aula 61.Redes
;;Aula 62.Aula teoría 17
;;Aula 63.Aula solares fotovoltáicas
;;Aula Ciclos
;;Comunidad
